name,image,url,productid
Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 75ml,,https://hasaki.vn/san-pham/kem-sieu-duong-am-embryolisse-ho-tro-phuc-hoi-da-75ml-94529.html,422203617
"Nước Tẩy Trang La Roche-Posay Cho Da Dầu, Nhạy Cảm 400ml",,https://hasaki.vn/san-pham/nuoc-tay-trang-la-roche-posay-danh-cho-da-dau-da-nhay-cam-400ml-43789.html,204900025
Kem Dưỡng Ẩm Neutrogena Cấp Nước Cho Da Dầu 50g,,https://hasaki.vn/san-pham/kem-duong-am-neutrogena-cung-cap-nuoc-cho-da-50g-90339.html,422200306
"Gel Dưỡng Megaduo Plus Giảm Mụn, Mờ Thâm 15g",,https://hasaki.vn/san-pham/gel-duong-megaduo-plus-gel-giam-mun-mo-tham-15g-102185.html,422208181
Mặt Nạ Beplain Đất Sét Từ Đậu Xanh Hỗ Trợ Sạch Sâu 120ml,,https://hasaki.vn/san-pham/mat-na-beplain-dat-set-tu-dau-xanh-ho-tro-sach-sau-120ml-125888.html,422223266
Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,,https://hasaki.vn/san-pham/gel-rua-mat-danh-cho-da-nhay-cam-simple-150ml-71263.html,211300007
Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g,,https://hasaki.vn/san-pham/kem-rua-mat-hada-labo-duong-am-toi-uu-80g-4359.html,224100009
Nước Tẩy Trang Garnier Làm Sạch Sâu Lớp Trang Điểm 400ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-garnier-lam-sach-sau-lop-trang-diem-400ml-96677.html,422204904
Combo Cocoon Tẩy Da Chết Cho Mặt & Toàn Thân Từ Cà Phê Đắk Lắk (200ml+150ml),,https://hasaki.vn/san-pham/combo-cocoon-tay-te-bao-chet-cho-mat-va-toan-than-tu-ca-phe-103451.html,422209262
Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml,,https://hasaki.vn/san-pham/xit-khoang-cung-cap-nuoc-evoluderm-400ml-1278.html,100150058
"Serum Torriden Dưỡng Ẩm Sâu, Sáng Bóng Da 50ml",,https://hasaki.vn/san-pham/serum-torriden-hyaluronic-acid-duong-am-sau-cho-da-50ml-116961.html,422217959
Serum d'Alba Dạng Xịt Nấm Truffle Trắng Căng Bóng Da 100ml,,https://hasaki.vn/san-pham/serum-d-alba-dang-xit-nam-truffle-trang-cang-bong-da-100ml-127140.html,422223701
Combo 2 Kem Chống Nắng L'Oreal Paris X20 Thoáng Da Mỏng Nhẹ 50ml,,https://hasaki.vn/san-pham/combo-2-kem-chong-nang-l-oreal-paris-x20-thoang-da-mong-nhe-50ml-111105.html,422214321
Nước Tẩy Trang L'Oreal Làm Sạch Sâu Cho Da Dầu 400ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-l-oreal-paris-danh-cho-da-dau-400ml-95711.html,422204259
Kem Chống Nắng Dr.G Dưỡng Sáng Da 50ml,,https://hasaki.vn/san-pham/kem-chong-nang-drg-duong-sang-da-50ml-110988.html,422214283
